GhRepo,date1,actor_id,actor_login,num_activities,num_dist_commits,num_dist_commitcomments,num_actors_pushevents,num_actors_pusheventscomment,num_dist_pullreqopened,num_dist_pullreqclosed,num_dist_pullreqAll,num_dist_pullreqcomments,num_actors_pullreq,num_actors_pullreqcomment,num_actors_pullreq_opened,num_actors_pullreq_closed,num_dist_issuesopened,num_dist_issuesclosed,num_dist_issuesAll,num_dist_issuecomments,num_actors_issues,num_actors_issuescomment,num_actors_allevents,num_actors_issues_opened,num_actors_issues_closed,num_forks_event,num_actors_forks,num_watch_event,num_actors_watch,num_releases,release_payload
KMPARDS/EraSwap,2022-01-13,49699333,dependabot[bot],1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwap,2022-02-11,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwap,2022-02-12,49699333,dependabot[bot],4,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwap,2022-04-09,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwap,2022-07-07,49699333,dependabot[bot],5,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
KMPARDS/EraSwap,2022-07-18,49699333,dependabot[bot],1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwap,2022-10-30,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwap,2022-12-03,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-02-11,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-04-09,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-07-07,49699333,dependabot[bot],5,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-08-30,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-11-03,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-11-16,49699333,dependabot[bot],5,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-12-09,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/EraSwapSmartContracts,2022-12-30,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
KMPARDS/Eraswap_life,2022-02-19,49699333,dependabot[bot],4,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
KMPARDS/Eraswap_life,2022-02-27,35613825,vercel[bot],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
KMPARDS/Eraswap_life,2022-02-27,49699333,dependabot[bot],5,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
KMPARDS/Eraswap_life,2022-03-28,35613825,vercel[bot],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
KMPARDS/Eraswap_life,2022-03-28,49699333,dependabot[bot],2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
