GhRepo,date1,actor_id,actor_login,num_activities,num_dist_commits,num_dist_commitcomments,num_actors_pushevents,num_actors_pusheventscomment,num_dist_pullreqopened,num_dist_pullreqclosed,num_dist_pullreqAll,num_dist_pullreqcomments,num_actors_pullreq,num_actors_pullreqcomment,num_actors_pullreq_opened,num_actors_pullreq_closed,num_dist_issuesopened,num_dist_issuesclosed,num_dist_issuesAll,num_dist_issuecomments,num_actors_issues,num_actors_issuescomment,num_actors_allevents,num_actors_issues_opened,num_actors_issues_closed,num_forks_event,num_actors_forks,num_watch_event,num_actors_watch,num_releases,release_payload
RubiconDeFi/Rubicon-DefiLlama-Adapter,2022-07-20,32072172,bghughes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/brand-assets,2022-01-04,17028936,Qalamar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
RubiconDeFi/brand-assets,2022-05-10,61363605,denverbaumgartner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
RubiconDeFi/brand-assets,2022-05-17,60487118,forrestnorwood,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/brand-assets,2022-07-22,60487118,forrestnorwood,4,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
RubiconDeFi/brand-assets,2022-07-22,71230819,RubiconDeFi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
RubiconDeFi/brand-assets,2022-12-14,32072172,bghughes,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/brand-assets-bathtokens,2022-07-22,60487118,forrestnorwood,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/brand-assets-bathtokens,2022-07-22,71230819,RubiconDeFi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-11,17028936,Qalamar,6,2,0,1,0,2,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-11,35613825,vercel[bot],3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-11,71230819,RubiconDeFi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-16,32072172,bghughes,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-16,35613825,vercel[bot],4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-16,60487118,forrestnorwood,12,7,0,1,0,2,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-16,61363605,denverbaumgartner,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-17,35613825,vercel[bot],1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-11-17,60487118,forrestnorwood,3,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-02,35613825,vercel[bot],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-02,60487118,forrestnorwood,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-05,32072172,bghughes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-07,60487118,forrestnorwood,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-14,32072172,bghughes,9,5,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,
RubiconDeFi/docs,2022-12-14,35613825,vercel[bot],3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-14,60487118,forrestnorwood,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-14,61363605,denverbaumgartner,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
RubiconDeFi/docs,2022-12-15,35613825,vercel[bot],2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-15,60487118,forrestnorwood,7,4,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-15,61363605,denverbaumgartner,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
RubiconDeFi/docs,2022-12-16,35613825,vercel[bot],2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
