GhRepo,date1,actor_id,actor_login,num_activities,num_dist_commits,num_dist_commitcomments,num_actors_pushevents,num_actors_pusheventscomment,num_dist_pullreqopened,num_dist_pullreqclosed,num_dist_pullreqAll,num_dist_pullreqcomments,num_actors_pullreq,num_actors_pullreqcomment,num_actors_pullreq_opened,num_actors_pullreq_closed,num_dist_issuesopened,num_dist_issuesclosed,num_dist_issuesAll,num_dist_issuecomments,num_actors_issues,num_actors_issuescomment,num_actors_allevents,num_actors_issues_opened,num_actors_issues_closed,num_forks_event,num_actors_forks,num_watch_event,num_actors_watch,num_releases,release_payload
aeonix/aeon,2017-01-28,1176369,TomiToivio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
aeonix/aeon,2017-02-20,7374093,sammy007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-02-20,22245297,Crypt0-Bear,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,
aeonix/aeon,2017-02-23,7793839,aeonix,3,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-02-23,7793839,aeonix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"{""action"":""published"",""release"":{""url"":""https://api.github.com/repos/aeonix/aeon/releases/5556500"",""assets_url"":""https://api.github.com/repos/aeonix/aeon/releases/5556500/assets"",""upload_url"":""https://uploads.github.com/repos/aeonix/aeon/releases/5556500/assets{?name,label}"",""html_url"":""https://github.com/aeonix/aeon/releases/tag/v0.9.7.0"",""id"":5556500,""tag_name"":""v0.9.7.0"",""target_commitish"":""master"",""name"":""Phoenix (0.9.7.0)"",""draft"":false,""author"":{""login"":""aeonix"",""id"":7793839,""avatar_url"":""https://avatars.githubusercontent.com/u/7793839?v=3"",""gravatar_id"":"""",""url"":""https://api.github.com/users/aeonix"",""html_url"":""https://github.com/aeonix"",""followers_url"":""https://api.github.com/users/aeonix/followers"",""following_url"":""https://api.github.com/users/aeonix/following{/other_user}"",""gists_url"":""https://api.github.com/users/aeonix/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/aeonix/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/aeonix/subscriptions"",""organizations_url"":""https://api.github.com/users/aeonix/orgs"",""repos_url"":""https://api.github.com/users/aeonix/repos"",""events_url"":""https://api.github.com/users/aeonix/events{/privacy}"",""received_events_url"":""https://api.github.com/users/aeonix/received_events"",""type"":""User"",""site_admin"":false},""prerelease"":false,""created_at"":""2017-02-23T23:31:34Z"",""published_at"":""2017-02-23T23:34:08Z"",""assets"":[],""tarball_url"":""https://api.github.com/repos/aeonix/aeon/tarball/v0.9.7.0"",""zipball_url"":""https://api.github.com/repos/aeonix/aeon/zipball/v0.9.7.0"",""body"":""This is a necessary point release of AEON Phoenix and is a **strongly, strongly** recommended update.\r\n\r\nIncludes preliminary code for support for ringct (not yet functional or enabled)\r\nInclude upstream fixes""}}"
aeonix/aeon,2017-02-23,8108287,SMH17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
aeonix/aeon,2017-02-23,8495206,iamsmooth,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-02-24,4353684,saddam213,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-02-24,7793839,aeonix,5,2,0,1,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-02-24,7793839,aeonix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"{""action"":""published"",""release"":{""url"":""https://api.github.com/repos/aeonix/aeon/releases/5556938"",""assets_url"":""https://api.github.com/repos/aeonix/aeon/releases/5556938/assets"",""upload_url"":""https://uploads.github.com/repos/aeonix/aeon/releases/5556938/assets{?name,label}"",""html_url"":""https://github.com/aeonix/aeon/releases/tag/v0.9.7.1"",""id"":5556938,""tag_name"":""v0.9.7.1"",""target_commitish"":""master"",""name"":""Phoenix (0.9.7.1)"",""draft"":false,""author"":{""login"":""aeonix"",""id"":7793839,""avatar_url"":""https://avatars.githubusercontent.com/u/7793839?v=3"",""gravatar_id"":"""",""url"":""https://api.github.com/users/aeonix"",""html_url"":""https://github.com/aeonix"",""followers_url"":""https://api.github.com/users/aeonix/followers"",""following_url"":""https://api.github.com/users/aeonix/following{/other_user}"",""gists_url"":""https://api.github.com/users/aeonix/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/aeonix/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/aeonix/subscriptions"",""organizations_url"":""https://api.github.com/users/aeonix/orgs"",""repos_url"":""https://api.github.com/users/aeonix/repos"",""events_url"":""https://api.github.com/users/aeonix/events{/privacy}"",""received_events_url"":""https://api.github.com/users/aeonix/received_events"",""type"":""User"",""site_admin"":false},""prerelease"":false,""created_at"":""2017-02-24T00:22:49Z"",""published_at"":""2017-02-24T00:23:39Z"",""assets"":[],""tarball_url"":""https://api.github.com/repos/aeonix/aeon/tarball/v0.9.7.1"",""zipball_url"":""https://api.github.com/repos/aeonix/aeon/zipball/v0.9.7.1"",""body"":""This is a necessary point release of AEON Phoenix and is a strongly, strongly recommended update.\r\n\r\nIncludes preliminary code for support for ringct (not yet functional or enabled)\r\nInclude upstream fixes\r\n\r\nKnown issue: coretests (and possibly other unit tests) fails to compile, as was the case in previous versions. This can be safely ignored. As long as a non-parallel build is used (do NOT use make -j), this error will occur after the wallet and daemon binaries are already built.\r\n\r\nNote: v0.9.7.1 is a cosmetic fix to v0.9.7.0, updating the version string""}}"
aeonix/aeon,2017-02-24,8495206,iamsmooth,2,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-02-26,7374093,sammy007,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,
aeonix/aeon,2017-02-26,7793839,aeonix,2,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-02-26,8495206,iamsmooth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-03-01,996142,narciszait,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
aeonix/aeon,2017-03-01,22719615,DmytroBendasov,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
aeonix/aeon,2017-03-02,2105355,spaquin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
aeonix/aeon,2017-03-02,24989802,1towia,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,
aeonix/aeon,2017-03-03,8495206,iamsmooth,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-03-03,16249740,billaue2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-03-03,26140591,gosha12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-03-03,26159778,Congabonga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-03-03,26172936,Aidess,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
aeonix/aeon,2017-03-04,195045,quangvhg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
