GhRepo,date1,actor_id,actor_login,num_activities,num_dist_commits,num_dist_commitcomments,num_actors_pushevents,num_actors_pusheventscomment,num_dist_pullreqopened,num_dist_pullreqclosed,num_dist_pullreqAll,num_dist_pullreqcomments,num_actors_pullreq,num_actors_pullreqcomment,num_actors_pullreq_opened,num_actors_pullreq_closed,num_dist_issuesopened,num_dist_issuesclosed,num_dist_issuesAll,num_dist_issuecomments,num_actors_issues,num_actors_issuescomment,num_actors_allevents,num_actors_issues_opened,num_actors_issues_closed,num_forks_event,num_actors_forks,num_watch_event,num_actors_watch,num_releases,release_payload
fr8network/fr8-protocol-eth,2018-07-26,35210390,fr8network,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-protocol-eth,2018-07-30,10966686,yspektor,13,8,0,1,0,2,2,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-protocol-eth,2018-09-09,43116992,michaelbulthe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
fr8network/fr8-protocol-eth,2018-10-02,10966686,yspektor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
fr8network/fr8-protocol-eth,2018-10-30,39551525,arsenum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
fr8network/fr8-token,2018-03-09,35210390,fr8network,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-03-10,5965718,lingqingmeng,5,3,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-04-23,5965718,lingqingmeng,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-04-30,5965718,lingqingmeng,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-04-30,16439986,ricochen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
fr8network/fr8-token,2018-05-01,5965718,lingqingmeng,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-06,5965718,lingqingmeng,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-10,5965718,lingqingmeng,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-14,5965718,lingqingmeng,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-15,10966686,yspektor,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-17,10966686,yspektor,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-21,5965718,lingqingmeng,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-21,10966686,yspektor,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-05-30,14254374,tmbrlkV,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-06-04,14254374,tmbrlkV,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-token,2018-10-30,39551525,arsenum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
fr8network/wp-mandarin-translation,2018-01-13,5965718,lingqingmeng,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/wp-mandarin-translation,2018-01-17,35210344,fr8Sloane,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/wp-mandarin-translation,2018-01-31,5965718,lingqingmeng,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
fr8network/fr8-protocol-eth,2023-07-16,4350754,sandroreginato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
fr8network/fr8-token,2023-07-16,4350754,sandroreginato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
fr8network/fr8-protocol-eth,2020-06-09,469456,colstrom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
fr8network/fr8-token,2020-06-09,469456,colstrom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
