GhRepo,date1,actor_id,actor_login,num_activities,num_dist_commits,num_dist_commitcomments,num_actors_pushevents,num_actors_pusheventscomment,num_dist_pullreqopened,num_dist_pullreqclosed,num_dist_pullreqAll,num_dist_pullreqcomments,num_actors_pullreq,num_actors_pullreqcomment,num_actors_pullreq_opened,num_actors_pullreq_closed,num_dist_issuesopened,num_dist_issuesclosed,num_dist_issuesAll,num_dist_issuecomments,num_actors_issues,num_actors_issuescomment,num_actors_allevents,num_actors_issues_opened,num_actors_issues_closed,num_forks_event,num_actors_forks,num_watch_event,num_actors_watch,num_releases,release_payload
staratlasmeta/factory,2021-10-14,28718707,bzierk,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-10-16,166784,cballou,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-10-19,9356448,bravetarget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-10-19,28718707,bzierk,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-10-29,47281386,Cain310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
staratlasmeta/factory,2021-11-10,28718707,bzierk,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-11,28718707,bzierk,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-16,9356448,bravetarget,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-16,25614124,MikeLuDev,7,1,0,1,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-16,28718707,bzierk,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-16,34070615,turnyay,12,2,0,1,0,0,1,1,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-16,49699333,dependabot[bot],6,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-17,9356448,bravetarget,6,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-17,28718707,bzierk,9,2,0,1,0,3,1,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-17,34070615,turnyay,4,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-18,9356448,bravetarget,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-18,25614124,MikeLuDev,18,8,0,1,0,2,3,4,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-18,28718707,bzierk,13,3,0,1,0,1,2,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-18,34070615,turnyay,8,3,0,1,0,1,2,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-19,794606,matigumma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
staratlasmeta/factory,2021-11-19,34070615,turnyay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-22,34070615,turnyay,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-23,34070615,turnyay,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-24,9356448,bravetarget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-24,28718707,bzierk,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-24,34070615,turnyay,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-25,372073,moshthepitt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-25,9356448,bravetarget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-25,34070615,turnyay,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-26,9356448,bravetarget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-26,28718707,bzierk,3,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-26,34070615,turnyay,3,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-30,25614124,MikeLuDev,15,6,0,1,0,3,4,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-11-30,28718707,bzierk,4,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-01,28718707,bzierk,9,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-01,34070615,turnyay,7,3,0,1,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-02,9356448,bravetarget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-02,28718707,bzierk,6,1,0,1,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-02,34070615,turnyay,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
staratlasmeta/factory,2021-12-03,25614124,MikeLuDev,4,2,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-06,9356448,bravetarget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-06,28718707,bzierk,5,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-06,34070615,turnyay,6,3,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-07,25614124,MikeLuDev,29,11,0,1,0,3,6,7,1,1,1,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-07,28718707,bzierk,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-07,41898282,github-actions[bot],2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-08,372073,moshthepitt,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-08,9356448,bravetarget,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-08,25614124,MikeLuDev,17,6,0,1,0,0,3,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-08,28718707,bzierk,8,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
staratlasmeta/factory,2021-12-08,34070615,turnyay,8,0,0,0,0,2,0,2,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,
