GhRepo,date1,actor_id,actor_login,num_activities,num_dist_commits,num_dist_commitcomments,num_actors_pushevents,num_actors_pusheventscomment,num_dist_pullreqopened,num_dist_pullreqclosed,num_dist_pullreqAll,num_dist_pullreqcomments,num_actors_pullreq,num_actors_pullreqcomment,num_actors_pullreq_opened,num_actors_pullreq_closed,num_dist_issuesopened,num_dist_issuesclosed,num_dist_issuesAll,num_dist_issuecomments,num_actors_issues,num_actors_issuescomment,num_actors_allevents,num_actors_issues_opened,num_actors_issues_closed,num_forks_event,num_actors_forks,num_watch_event,num_actors_watch,num_releases,release_payload
ImpeccableHQ/swapr-canny,2022-09-28,55109759,0xVenky,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-dapp,2022-12-29,23079677,berteotti,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-dapp,2022-12-29,41898282,github-actions[bot],5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-dapp,2022-12-29,49699333,dependabot[bot],25,0,0,0,0,5,0,5,0,1,0,1,0,0,0,0,15,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-dapp,2022-12-29,118854314,MuratKok1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-dapp,2022-12-30,23079677,berteotti,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-dapp,2022-12-30,57331244,MilanVojnovic95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-dapp,2022-12-31,23079677,berteotti,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-ecobridge-socket-lists,2022-09-27,36545016,jorgedclopes,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-ecobridge-socket-lists,2022-09-30,36545016,jorgedclopes,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-ecobridge-socket-lists,2022-10-02,36545016,jorgedclopes,4,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-ecobridge-socket-lists,2022-10-03,36545016,jorgedclopes,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-ecobridge-socket-lists,2022-10-10,1926216,adamazad,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-ecobridge-socket-lists,2022-10-13,1926216,adamazad,2,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-ecobridge-socket-lists,2022-10-14,36545016,jorgedclopes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-nft,2022-11-19,100932053,ImpeccableHQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-nft,2022-11-19,110498499,0xVance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-nft,2022-11-27,110498499,0xVance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-nft,2022-12-05,110498499,0xVance,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-09-26,49699333,dependabot[bot],24,0,0,0,0,4,4,8,0,1,0,1,1,0,0,0,8,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-10-03,49699333,dependabot[bot],30,0,0,0,0,5,5,10,0,1,0,1,1,0,0,0,10,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-10-10,49699333,dependabot[bot],35,0,0,0,0,6,5,11,0,1,0,1,1,0,0,0,12,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-10-17,49699333,dependabot[bot],35,0,0,0,0,6,6,12,0,1,0,1,1,0,0,0,11,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-10-24,49699333,dependabot[bot],40,0,0,0,0,7,7,14,0,1,0,1,1,0,0,0,13,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-10-31,49699333,dependabot[bot],30,0,0,0,0,5,5,10,0,1,0,1,1,0,0,0,10,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-11-03,110498499,0xVance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-11-07,49699333,dependabot[bot],45,0,0,0,0,7,8,15,0,1,0,1,1,0,0,0,15,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-11-07,110498499,0xVance,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-11-08,110498499,0xVance,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-11-14,49699333,dependabot[bot],18,0,0,0,0,3,3,6,0,1,0,1,1,0,0,0,6,0,1,1,0,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-11-16,110498499,0xVance,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,1,0,1,1,0,0,0,0,0,0,
ImpeccableHQ/swapr-expeditions-services,2022-11-17,1926216,adamazad,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
