GhRepo,date1,actor_id,actor_login,num_activities,num_dist_commits,num_dist_commitcomments,num_actors_pushevents,num_actors_pusheventscomment,num_dist_pullreqopened,num_dist_pullreqclosed,num_dist_pullreqAll,num_dist_pullreqcomments,num_actors_pullreq,num_actors_pullreqcomment,num_actors_pullreq_opened,num_actors_pullreq_closed,num_dist_issuesopened,num_dist_issuesclosed,num_dist_issuesAll,num_dist_issuecomments,num_actors_issues,num_actors_issuescomment,num_actors_allevents,num_actors_issues_opened,num_actors_issues_closed,num_forks_event,num_actors_forks,num_watch_event,num_actors_watch,num_releases,release_payload
quark-project/qrkweb,2019-06-20,19766152,quark-project,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
quark-project/qrkweb,2019-07-18,19766152,quark-project,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
quark-project/qrkweb,2019-10-10,19766152,quark-project,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
quark-project/quark,2019-01-01,7637553,EvertonMelo,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
quark-project/quark,2019-01-27,45643355,Nedrarick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
quark-project/quark,2019-05-22,50893368,yagami1988,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,
quark-project/quark,2019-05-28,51132561,quark-project-evolution,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
quark-project/quark,2019-05-30,4788173,MaxGuevara,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
quark-project/quark,2019-05-30,50893368,yagami1988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,
quark-project/quark,2019-06-04,7637553,EvertonMelo,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
quark-project/quark,2019-06-11,51691307,jackcryp,3,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,
quark-project/quark,2019-06-20,4788173,MaxGuevara,17,4,0,1,0,2,5,5,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,
quark-project/quark,2019-06-20,4788173,MaxGuevara,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"{""action"":""published"",""release"":{""url"":""https://api.github.com/repos/quark-project/quark/releases/18126524"",""assets_url"":""https://api.github.com/repos/quark-project/quark/releases/18126524/assets"",""upload_url"":""https://uploads.github.com/repos/quark-project/quark/releases/18126524/assets{?name,label}"",""html_url"":""https://github.com/quark-project/quark/releases/tag/v0.10.6.5"",""id"":18126524,""node_id"":""MDc6UmVsZWFzZTE4MTI2NTI0"",""tag_name"":""v0.10.6.5"",""target_commitish"":""master"",""name"":""v0.10.6.5"",""draft"":false,""author"":{""login"":""MaxGuevara"",""id"":4788173,""node_id"":""MDQ6VXNlcjQ3ODgxNzM="",""avatar_url"":""https://avatars1.githubusercontent.com/u/4788173?v=4"",""gravatar_id"":"""",""url"":""https://api.github.com/users/MaxGuevara"",""html_url"":""https://github.com/MaxGuevara"",""followers_url"":""https://api.github.com/users/MaxGuevara/followers"",""following_url"":""https://api.github.com/users/MaxGuevara/following{/other_user}"",""gists_url"":""https://api.github.com/users/MaxGuevara/gists{/gist_id}"",""starred_url"":""https://api.github.com/users/MaxGuevara/starred{/owner}{/repo}"",""subscriptions_url"":""https://api.github.com/users/MaxGuevara/subscriptions"",""organizations_url"":""https://api.github.com/users/MaxGuevara/orgs"",""repos_url"":""https://api.github.com/users/MaxGuevara/repos"",""events_url"":""https://api.github.com/users/MaxGuevara/events{/privacy}"",""received_events_url"":""https://api.github.com/users/MaxGuevara/received_events"",""type"":""User"",""site_admin"":false},""prerelease"":false,""created_at"":""2019-06-20T17:57:42Z"",""published_at"":""2019-06-20T17:58:38Z"",""assets"":[],""tarball_url"":""https://api.github.com/repos/quark-project/quark/tarball/v0.10.6.5"",""zipball_url"":""https://api.github.com/repos/quark-project/quark/zipball/v0.10.6.5"",""body"":""""}}"
