aeonix,https://github.com/aeonix,N/A,Token,Unnamed: 4,Others,"Says ""100% community and volunteer grassroots driven approach"", not sure what that means",Private company ,Unnamed: 8,No governance token,N/A.1,N/A.2,N/A.3,Jekyll ,"Looks to be largely abandoned for the last couple months. Also, its value is currently extremely low at below one cent. Most of its technology is outdated.",Not Able to find,N/A.4,N/A.5,Unnamed: 18,Unnamed: 19
0xcregis,https://github.com/0xcregis,,Wallet,,Product/service sales income,,"Other (if DAO, specify name in DAO Name column)",,,n/A,,,n/A,"A good website with working links, the twitter has been updated recently. ",,,,,
beaboutyourlife,https://github.com/Beaboutyourlife,,DApp,"It also is a ""Decentralized P2P healthcare system""",Product/service sales income,,"Other (if DAO, specify name in DAO Name column)",,,,,,"Elit Web3 Solutions, XDC", It is a decentralized healthcare system with zero government intervention.,,HealthBank,,,
casinolandnetwork,https://github.com/casinolandnetwork,,DApp,,Product/service sales income,,Not centrally organized (just the GitHub and nothing else),,,,,,,Only one commit on the github ever with only around 500 lines of code. It is a decentralized casino app but seems to have never been very successful. ,,,,,
dethertech,https://github.com/dethertech,,Crypto exchange,,Public token sale,,Private company ,,,,,,,"https://isthiscoinascam.com/check/dether - According to this website, dether is a scam. ",,,,,
fr8network,https://github.com/fr8network,,Token,,Public token sale,,Not centrally organized (just the GitHub and nothing else),,,,,,,The website looks so sketchy that I did not click on any links for fear of getting a virus. ,,,,,
impactmarket,https://github.com/impactMarket,,Other,"Many types rolled into one such as a wallet, network, exchange, and it also has its own token and currency. ",Public token sale,,Private company ,,https://coinmarketcap.com/currencies/impactmarket/,,"1,680,403,451","$10,000,000,000",,,,,,,
impeccablehq,https://github.com/ImpeccableHQ,,,,,,,,,,,,,No data is available. ,,,,,
trsoft-inc,https://github.com/TrSoft-Inc,,Other,Seems to be some of the code for an NFT website/exchange,Product/service sales income,,Not centrally organized (just the GitHub and nothing else),,,,,N/a,"Alchemy, FlowBlockchain","Is divided into two softwares. FlowBlockchain is a smart contract for NFT transfer, and Alchemy is the actual NFT platform. However, it is not complete, so there must be other code existing somewhere. There is nothing about control over the project",,,,,
wannaswap,"https://github.com/wannaswap",,Other,Automatic Money Market,Product/service sales income,,Private company ,,https://coinmarketcap.com/currencies/wannaswap/,,"2,740,000","100,000,000",Aurora,,,,,,
startatlasmeta,https://github.com/staratlasmeta,,Token,,Others,Income is earned as players transfer assets in game. ,"Other (if DAO, specify name in DAO Name column)",,https://coinmarketcap.com/currencies/star-atlas-polis/,,"257,624,349","360,000,000","Phantom, Ledger, Coinbase",A video game that has its own currency for buying in-game assets. ,, Star Atlas DAO,,,
quark-project,https://github.com/quark-project,,Token,,Public token sale,,Private company ,,https://coinmarketcap.com/currencies/quark/,,"290,667,510 QRK","290,667,510 QRK",,,,,,,
kmpards,https://github.com/KMPARDS,,Other,"A company that offers many blockchain related services such as an education app, a wallet, and an exchange. ",Product/service sales income,,Private company ,,,,,,,,,,,,
linear-protocol,https://github.com/linear-protocol,,Other,Liquid Staking Protocol,Others,Was not able to find,"Other (if DAO, specify name in DAO Name column)",,https://coinmarketcap.com/currencies/linear-protocol-org/,,"800,000,000","1,000,000,000",,"Offers the ""best way to stake NEAR""",,LiNEAR DAO,,,
mindcointeam,https://github.com/MindCoinTeam,,Token,,Public token sale,,Private company ,,,,,,,The website is blocked because my computer detected a virus. There is almost no information availible. ,,,,,
niftyx,https://github.com/niftyx,,DApp,,Product/service sales income,,,,,,"51,386,058","65,557,424",,,,Niftyx DAO,,,
panindustrial-org,https://github.com/PanIndustrial-Org,,Other,I do not know,,,Not centrally organized (just the GitHub and nothing else),,,,,,,No information availible on the web,,,,,
primlabs,https://github.com/PrimLabs,,Other,An organization that researches crypto,Others,Do not know,Not centrally organized (just the GitHub and nothing else),,,,,,,,,,,,
rubicondefi,https://github.com/RubiconDeFi,,Crypto exchange,,Product/service sales income,,Private company ,,,,,,,,,,,,
solanascan,https://github.com/Solanascan,,DApp,,Product/service sales income,,,,,,,,,,,,,,
