Aeonix,https://github.com/aeonix,N/A,Token,,Others,"Says ""100% community and volunteer grassroots driven approach"", not sure what that means",Private company ,,No governance token,N/A,N/A,N/A,Jekyll ,"Looks to be largely abandoned for the last couple months. Also, its value is currently extremely low at below one cent. Most of its technology is outdated.",Not Able to find,N/A,N/A,,
0xcregis,https://github.com/0xcregis,N/A,Wallet,,Product/service sales income,,"Other (if DAO, specify name in DAO Name column)",,N/A,n/A,N/A,N/A,n/A,"A good website with working links, the twitter has been updated recently. ",N/A,N/A,N/A,,
Beaboutyourlife,https://github.com/Beaboutyourlife,N/A,DApp,"It also is a ""Decentralized P2P healthcare system""",Product/service sales income,,"Other (if DAO, specify name in DAO Name column)",,N/A,N/A,N/A,N/A,"Elit Web3 Solutions, XDC", It is a decentralized healthcare system with zero government intervention.,N/A,HealthBank,N/A,,
casinolandnetwork,https://github.com/casinolandnetwork,N/A,DApp,,Product/service sales income,,Not centrally organized (just the GitHub and nothing else),,N/A,N/A,N/A,N/A,N/A,Only one commit on the github ever with only around 500 lines of code. It is a decentralized casino app but seems to have never been very successful. ,N/A,N/A,N/A,,
dethertech,https://github.com/dethertech,N/A,Crypto exchange,,Public token sale,,Private company ,,N/A,N/A,N/A,N/A,N/A,"https://isthiscoinascam.com/check/dether - According to this website, dether is a scam. ",N/A,N/A,N/A,,
fr8network,https://github.com/fr8network,N/A,Token,,Public token sale,,Not centrally organized (just the GitHub and nothing else),,N/A,N/A,N/A,N/A,N/A,The website looks so sketchy that I did not click on any links for fear of getting a virus. ,N/A,N/A,N/A,,
impactMarket,https://github.com/impactMarket,N/A,Other,"Many types rolled into one such as a wallet, network, exchange, and it also has its own token and currency. ",Public token sale,,Private company ,,https://coinmarketcap.com/currencies/impactmarket/,,"1,680,403,451","$10,000,000,000",N/A,,N/A,N/A,N/A,,
impeccableHQ,https://github.com/ImpeccableHQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No data is available. ,N/A,N/A,N/A,N/A,N/A
TrSoft-Inc,https://github.com/TrSoft-Inc,N/A,Other,Seems to be some of the code for an NFT website/exchange,Product/service sales income,,Not centrally organized (just the GitHub and nothing else),,N/A,,N/A,N/a,"Alchemy, FlowBlockchain","Is divided into two softwares. FlowBlockchain is a smart contract for NFT transfer, and Alchemy is the actual NFT platform. However, it is not complete, so there must be other code existing somewhere. There is nothing about control over the project",N/A,N/A,N/A,,
wannaswap,"https://github.com/wannaswap",N/A,Other,Automatic Money Market,Product/service sales income,,Private company ,,https://coinmarketcap.com/currencies/wannaswap/,,"2,740,000","100,000,000",Aurora,,N/A,N/A,N/A,,
startatlasmeta,https://github.com/staratlasmeta,N/A,Token,,Others,Income is earned as players transfer assets in game. ,"Other (if DAO, specify name in DAO Name column)",,https://coinmarketcap.com/currencies/star-atlas-polis/,,"257,624,349","360,000,000","Phantom, Ledger, Coinbase",A video game that has its own currency for buying in-game assets. ,N/A, Star Atlas DAO,N/A,,
quark-project,https://github.com/quark-project,N/A,Token,,Public token sale,,Private company ,,https://coinmarketcap.com/currencies/quark/,,"290,667,510 QRK","290,667,510 QRK",N/A,,N/A,N/A,N/A,,
KMPARDS,https://github.com/KMPARDS,N/A,Other,"A company that offers many blockchain related services such as an education app, a wallet, and an exchange. ",Product/service sales income,,Private company ,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,
linear-protocol,https://github.com/linear-protocol,N/A,Other,Liquid Staking Protocol,Others,Was not able to find,"Other (if DAO, specify name in DAO Name column)",,https://coinmarketcap.com/currencies/linear-protocol-org/,N/A,"800,000,000","1,000,000,000",N/A,"Offers the ""best way to stake NEAR""",N/A,LiNEAR DAO,N/A,,
MindCoinTeam,https://github.com/MindCoinTeam,N/A,Token,,Public token sale,,Private company ,,N/A,N/A,N/A,N/A,N/A,The website is blocked because my computer detected a virus. There is almost no information availible. ,N/A,N/A,N/A,,
niftyx,https://github.com/niftyx,N/A,DApp,,Product/service sales income,,,N/A,N/A,N/A,"51,386,058","65,557,424",N/A,,N/A,Niftyx DAO,N/A,,
PanIndustrial-Org,https://github.com/PanIndustrial-Org,N/A,Other,I do not know,,,Not centrally organized (just the GitHub and nothing else),N/A,N/A,N/A,N/A,N/A,N/A,No information availible on the web,N/A,N/A,N/A,,
PrimLabs,https://github.com/PrimLabs,N/A,Other,An organization that researches crypto,Others,Do not know,Not centrally organized (just the GitHub and nothing else),,N/A,,,,N/A,,,,,,
RubiconDeFi,https://github.com/RubiconDeFi,N/A,Crypto exchange,,Product/service sales income,,Private company ,,N/A,,,,N/A,,,,,,
Solanascan,https://github.com/Solanascan,N/A,DApp,,Product/service sales income,,,,N/A,,,,N/A,,,,,
